Nama,Komentar,Likes,Label
okkapratama,menyambut baik ini semoga terrealisasi,772 suka,Positif
magfirahhrh,MasyaAllah ,882 suka,Negatif
finfolkmoney,Naaahhhhhh semoga dijaga terus yaa,525 suka,Hampir Positif
rdnsd_,Aamiin,68 suka,Hampir Negatif
nandagita16,"Alhamdulillah aku perusahaan start up jual barang2 kebutuhan ibu & anak PT nya baru berdiri 2tahun tapi dr awal udah hired berbagai umur dr gen z 18 - 19 tahun, millenial 24-42 tahun, sampe gen X 50an tahun juga ada yg kerja di tim ku syarat utama gak selalu di lihat dr umur yg penting jujur dan mau kerja",310 suka,Positif
he.ndru,"doain ges, nenek gw lagi ngurus cv",14.166 suka,Negatif
ntaaa1206,Beneran g ini?ga cumaaaa gebrakan doang kan?ayolahh bisa yok konohaaaa sukses semua,388 suka,Hampir Positif
drobbiii,Semoga bukan jadi penenang buat masyarakat doang deh,1.282 suka,Hampir Negatif
reviewmajo,KENAPA GA DARI DULU SI,403 suka,Positif
ellyef_27,"Setuju Paaak, minimal batas usia di tambah maximal 60 thn kek, yg penting masih menunjukkan kinerja yg bnr2 mampu",100 suka,Negatif
nrmnsyt,Ditunggu realisasinya! Jangan cuma omdo Pak.,4.252 suka,Hampir Positif
mifscoot,Usia produktif bukan 19-max 21. Itu mereka masih mesti belajar dan kuliah. Yang produktif tu 24-35. Pola pikirnya “mau gamau ya kerja dan berinovasi untuk hidup dan keberlangsungan kedepannya”,747 suka,Hampir Negatif
adymizwar28,Minimal batas usia 65 tahun..selagi nafas masih mampu,123 suka,Positif
almapembaik,"SEKALIAN TINGGI BADAN LAH, org pendek jg butuh kerja jir",9.625 suka,Negatif
yusifransisca_86,umur 30 tahun ke atas justru lebih butuh banyak duit buat biaya hidup keluarganya,111 suka,Hampir Positif
idealismqueen,"aneh sekelas wamen masa berharap, ya lu kan punya kuasa buat hapus itu gimana sih",7.943 suka,Negatif
pramputranto,kemana aja lu!,244 suka,Hampir Negatif
realiqbal.ig,Tinggi badan jugaa harusnya dihapus.,64 suka,Positif
