Nama,Komentar,Likes,Label
antarestar_outdoor,"Indonesia itu ga kekurangan orang pinter, cuma kurang orang yang perhatian aja",146 suka,Positif
workabroad.id,langsung lanjut  kerja di luar negeri kak,582 suka,Negatif
illbesuccesful,penghargaannya diluar negri ,147 suka,Hampir Positif
syaifulbachri_17,Tetap di luar negri saja ya balik kesini ga bakal di dukung sama pemerintah takut Pertamina kalah sainga Blm bersaing aja udh rugi mulu ,88 suka,Hampir Negatif
farizkresna,ITS menang banyak btw,59 suka,Positif
shafirawahyua,"selain UI juga masih ada kampus lain yang meraih kejuaraan di Qatar loh min, alangkah lebih baik mereka juga diliputi agar sama-sama terapresiasi ",3.602 suka,Positif
magang_id,diem2 aja jgn terlalu euphoria,203 suka,Negatif
diensiles,"Menyala lah di luar negeri, di dalam negeri biasanya kurang dihargai ",29.116 suka,Hampir Positif
aurielvynielicht,Fun fact: universitas Negeri Malang juga juara satu di tempat yang sama namun dalam kategori terefisien atau terhemat. pokoknya di lomba shell itu Indonesia juara satu semua guys di masing masing kategori ??????????,406 suka,Positif
abidrbbni,ITS kemana min,88 suka,Hampir Negatif
tehespanas,siap2 benner yg juara lebih kecil dari pada foto pejabatnya.,803 suka,Positif
untungstore,"yang kaya gini harusnya diapresiasi negara, dijadikan aset, didukung, bukan malah dibiarkan saja.",578 suka,Positif
bagussuryawwwww,"Pantesan indonesia gelap, ternyata yg terang itu di luar negeri",2.271 suka,Negatif
arifalfaaa_,Jangan balik indoo lagi ygy,2.547 suka,Hampir Positif
ryowesleyy,"Bukti masih banyak orang indo yg pinter diatas rata2, harus lebih banyak disorot hal begini",15.025 suka,Hampir Negatif
safirfp,Pemerintah Indonesia:saatnya caper,19.585 suka,Positif
lindeloves,its? undip? unm? waduh masi banyak yang mengharumkan indonesia loh min,317 suka,Negatif
ry_sanchia,"Bang jangan balik dulu, ntar pejabat narsis ngebet foto bareng terus dipajang deh di medsos kementerian mereka",3.275 suka,Hampir Positif
mayangamertha,"ITS yang borong 5 piala kok ga diliput, Min?",5.071 suka,Hampir Negatif
iqbalasseyka,Nah mending ini daripada mentri yang bangga IPK nya 2 ,367 suka,Positif
