Nama,Komentar,Likes,Label
dleanferdiansyah,tombol respect buat presiden ,13.410 suka,Positif
eltasyanatasha,MasyaAllah,96 suka,Negatif
alshvera,MasyaAllah respect sm bapak,849 suka,Hampir Positif
edgarfatahillah,"Respect pak, bahkan DC Cakung pun tidak berani menahan mahkota bapak ",20.616 suka,Hampir Negatif
tegarfachryan_,respect jenderal ,103 suka,Positif
rappp_ply,"Ga sia"" pilih beliau jadi presiden",2.135 suka,Negatif
ericaacalvira,pecat guru nya ga sih pak?,10.083 suka,Hampir Positif
reviewmajo,USUT SEKOLAH JUGA PAK!,569 suka,Hampir Negatif
habibsyadzily,"Memberikan hukuman kepada murid karena ketidakmampuan membayar SPP bukan hanya tindakan yang tidak etis, tetapi juga mencederai prinsip pendidikan sebagai hak dasar setiap individu. Timbul pertanyaan kenapa sanksi itu ditujukan kepada anak sekecil itu yang mana dia tidak tahu apa-apa. Maria Montessori pernah bilang: ""The child is both a hope and a promise for mankind."" Jikalau perlakuan anda seperti ini kepada murid anda sendiri, dapatkah harapan itu muncul? Yang ada luka psikologis yang timbul.",1.701 suka,Positif
alsaik_,SEKELAS PRESIDEN TURUN TANGAN..APAGUNA NYA PEMBANTU2 PRESIDEN ?MENTRI2NYA KEMANA,2.842 suka,Negatif
abdillirf,Kepsek sama gurunya udh meriang sama ga nyenyak tidur,4.541 suka,Hampir Positif
asra.90s,hukum gurunya ga si pak?,3.066 suka,Hampir Negatif
ardilahmawardi,Gua GK tau apa ini bagus atau Enggak hanya saja apakah hanya satu orang saja yg menerima dampak dari instruksi pak Prabowo membiayai sekolah anak tersebut sedangkan jutaan anak ada yg bernasib kurang mampu dalam biaya pendidikan tp pemerintah masih belum menuntaskan pendidikan yang murah,120 suka,Positif
setiawanel,Td baru liat dan ada yang klarifikasi dr pihak orang tua siswa sekelasnya katanya ibunya yg nyuruh duduk di bawah terus di videoin sama ibunya dengan sengaja. Demikian,92 suka,Positif
rey.shandy,anak anak ga harus jadi korban gasih? yg dewasanya kok gak mikir,9.364 suka,Negatif
rurs.thelapislazuli,Untuk hal seperti ini sampai presiden yang turun tangan? Respek kepada Pak Prabowo tapi aku menyayangkan kinerja di bawahnya...,1.983 suka,Hampir Positif
cylnophile7,"Respect pakkk tapi dengan kejadian ini buat orang tua yang ga mampu jangan sekolahin anaknya di swasta, terus para orang tua yang liat berita ini jangan nunggu pak prabowo bayarin sekolah anak kalian dulu, takutnya ga tau diri ngurusin kewajiban buat anaknya",2.501 suka,Hampir Negatif
byodvoj_,kurang baik apalagi coba presiden kita ini? masih di nyinyirin juga,312 suka,Positif
bangarya4731,"Njir banyak yg memuji, kemarin banyak jugaa yg menghujat.",85 suka,Negatif
rajasonang_,perlu ditindaklanjuti juga oknum guru disana. perlu dipertanyakan moral dan kemanusiaan nya,247 suka,Hampir Positif
