Nama,Komentar,Likes,Label
iannscence,"terlihat istimewa, padahal udah kewajibanya",11.401 suka,Positif
hasnanuraisya_,The real daerah Istimewa ,2.072 suka,Negatif
selimarianaa,"Keren pak, semoga makin banyak pejabat begini ",4.215 suka,Positif
aldoaraya_,The real daerah istimewa,4.181 suka,Hampir Positif
putrioktalina96,"Respect! Bener-bener definisi bekerja dari rakyat, untuk rakyat, dan oleh rakyat. Sehat2 terus bapak wali kota ",822 suka,Hampir Negatif
frhanahf,Inikah yang disebut yogyaku istimewaku,680 suka,Positif
pjrs__,"fyi itu walkot kami sudah kaya sebelum menjabat, beliau punya rumah sakit bersalin,",2.565 suka,Negatif
spertibersepeda,"lagian mobil dinas pake avanza kan bisa, ga harus ampe M M an. tapi akhirnya ada berita bagus juga",17.429 suka,Positif
candraadityaaa,"Saya bukan warga njenengan, tapi ikut bangga. Respect Pak Dokter ",84 suka,Hampir Positif
bella_joktavianti,KELAZZZZ BAPAKKKK,89 suka,Hampir Negatif
cassaaww,nah gini kan enak beritanya,226 suka,Positif
dleanferdiansyah,tombol respect ,21.405 suka,Negatif
yogaaaa_jp,Respect Jogja,108suka,Hampir Positif
aarifki_official,nah ini yang harus dicontoh ,560 suka,Hampir Negatif
travelmom.id,"Gak usah komen “itu kan emang kewajibannya”. Nggak. Dia berhak dapet mobil dinas tersebut. Tapi memilih untuk yang speknya di bawah demi hal lain yg lebih urgent. Kalopun itu memang kewajibannya, tetap rispek, krn kbanyakan pemimpin gak melaksanakan dgn baik keeajibannya. ??",412 suka,Positif
abdal_im,"600 gerobak = 3M, 1 gerobak = 5 jt ?? Padahal di ecommerce harga 1jt - 3jtan/gerobak. See?? Lebih ""gurih"" mana ????? ",374 suka,Negatif
adamsetiawannn,"Hal yang seharusnya wajar dan normal, kenapa terasa langka yaa.",886 suka,Hampir Positif
rhjmghfr,"Hal-hal kaya gini harusnya jadi bare minimum, malah jadi terkesan wow krn pejabat konoha kebanyakan manfaatin jabatan ",521 suka,Positif
alifahhhu,"Kalo seluruh daerah pemimpinnya spt ini, mungkin semua akan berlomba lomba memajukn daerahnya",1.434 suka,Hampir Negatif
terbangun99,Salah satu alasan ingin tinggal di yogya,101 suka,Positif
