Nama,Komentar,Likes,Label
smartpath.id,Salut banget Langkah kecil menuju masa depan tetap layak diapresiasi. Semoga makin banyak sekolah yang menghargai perjuangan siswanya seperti ini!,1.444 suka,Positif
indomaret,Selamat kak Selfi atas keberhasilannya diterima di Indomaret semangat berkarya di Indomaret yaa,17.559 suka,Negatif
jiyzahrah,Kereeeennnn ,135 suka,Negatif
medxcijn,"sekecil apapun memang harus diapresiasi, supaya jadi motivasi, ngga ada salahnya juga",385 suka,Hampir Positif
arieladhidevara,"Successt measured by how u compare to others, but by how much grown from where u began",52 suka,Hampir Negatif
frcorne,Apapun pencapaiannya harus diapresiasi yuk kembangin budaya seperti ini,1.547 suka,Positif
aldd00o,"Aku lulus SMA juga pertama kali kerja di Alfamart sekarang di kasih kesempatan Tuhan buat Working Abroad, semua juga akan berproses",192 suka,Negatif
smkpgrilubuklinggau,"Terima kasih  atas sorotannya Kami percaya bahwa setiap langkah awal layak dirayakan.Semoga ini menjadi motivasi bagi semua siswa untuk bangga atas pencapaian mereka, sekecil apa pun itu.",872 suka,Hampir Positif
alfamart,keren banget  untuk apresiasinya. Selamat dan semangat bekerja untuk mas Yoga  di gerai Alfamart,4.347 suka,Positif
kamivokasi,Apresiasi yang tinggi untuk SMK PGRI Lubuklinggau  Karena setiap pencapaian memang layak dirayakan! SMK bisa! SMK Hebat!,882 suka,Positif
firzarizki9,"Selamat Selfi dan Yoga, Semoga selalu diberikan kemudahan serta kelancaran dalam bekerja, makin sukses dan berkah",8 suka,Negatif
alfakarir.official,Terima kasih  atas apresiasinya Selamat bergabung Kak Yoga menjadi keluarga Alfanesia. Semangat tumbuh dan berkarya bersama di Alfamart yaa,384 suka,Negatif
nafsj,"Kereeen gapapa dulu aku lulus SMA juga kerja dulu di restoran, uangnya buat bantu orang tua dan biaya kuliah sendiri, skrg udh lulus dan kerja sbg finance, alhamdulillah mau Prosesnya ga cepet tapi bukan brrti gabisa semangaaat ????????????",446 suka,Hampir Negatif
agil.yamand,"Mantap, harus patut di apresiasi. Jangan ada kata gengsi atau malu, karna ini mencari rezeki bukan mencuri ",6.215 suka,Positif
minumrempahindonesia,Di mana pun kita bekerja juga bagian kita berjuang dan beribadah,58 suka,Positif
reviewmajo,Wong kito galo sini kumpul ,74 suka,Negatif
steph_niki_,"Seleksi indomaret dan alfamart itu susah juga, jadi tolong hargai  perjuangan mereka, dan salut buat sekolahnya",5.230 suka,Hampir Positif
lokerly.career,"Keren, ga semua sekolah bisa",75 suka,Positif
connectionskull,"Keren banget sekolahnya. Terimakasih atas apresiasinya itu sangat berharga dan berarti, karena setiap orang punya jalannya masing-masing",1.481 suka,Positif
sayadwian_,normalisasikan semua pekerjaan halal itu keren yagesya,920 suka,Positif
pelle_ohlin99,Normalisasikan sekolah yang seperti ini ??,703 suka,Hampir Negatif
ryowesleyy,"Apapun kerjaannya selagi halal patut diapresiasi dan masuk ke alfa / indomart juga ngga mudah, selamat ",970 suka,Negatif
sachirotaka,"Gaperlu malu, masih pake baju. Diluar sana banyak yg gak malu kerja tanpa baju",1.956 suka,Positif
rahm.atputra19,Di daerahku malahan pekerja Indo & Alfa dianggap bagus. Karena gajinya UMR + ada bonus ( katanya) .,656 suka,Positif
lukasgalih,"Lebih keren begini, daripada dicarikan bapaknya pekerjaan dgn cara ugal-ugalan",3.183 suka,Positif
jakksp,"Kerja apapun selagi halal keren hebat, asal jgn ngeruk nikel ampe rusak alam aja",21.935 suka,Positif
citrasoniaff,"Sederhana, tapi gak semua sekolah mau ngelakuinnya. Respect der buat sekolahnya ",5.731 suka,Negatif
mas.gyan,"keren banget sekolahnya, disaat banyak sekolah yang hanya mau mengapresiasi siswa berprestasi yang diterima di kampus ternama atau yang berhasil kerja di BUMN dan multinasional company sekolah ini tanpa ragu mengapresiasi hal seperti ini. sukses selalu untuk sekolahnya dan untuk seluruh siswa siswi yang kurang beruntung semoga suatu saat sukses bakal bisa dipeluk dengan erat. Semangattt ?",143 suka,Positif
