Nama,KOMENTAR,Likes,Sentiment
tidaklama,Thankyou mimin! 🔥 Doakan semoga proyek film kami selanjutnya sukses ya 🙌🙌🙌,3.838 suka,POSITIF
polysilaneindonesia,"prouddd! tombol setuju pol filmnya dirilis ke publik, kepo!! 🤩 —>",1.082 suka,POSITIF
jeshuachristian,THANK YOUUU MIN 🤍,3.065 suka,POSITIF
rbvioliz,"kan??? bermimpi tu gpp banget, Aku!!!😊",1.299 suka,POSITIF
flay127,gabutnya produktif 👏,7.406 suka,HAMPIR POSITIF
mamadkurniawann,"Thankyou  🙏, Doain semoga kami terus berkarya dan produksi film lagi yaaa",194 suka,POSITIF
argnrn,"emang yang iseng2 dan berawal dari gabut selalu membuahkan hasil. terus lah berkarya mau sekecil apapun, siapa tau mimpi kalian bisa terwujud berawal dari karya kecil itu🔥🔥👏",1.470 suka,POSITIF
sahkanuuperampasanaset,"Tidak punya tuksedo, si bro dengan bangganya memakai batik kondangan andalan, bukan hanya dari filmnya tetapi dia sudah membanggakan Indonesia lewat batiknya, respect bgt Der keren",27.230 suka,HAMPIR POSITIF
rasdrago_,"Disana aja bang asli, di Indo ga di hargain lau bang 🔥",17.907 suka,NEGATIF
senadafilms,Thank you min🤍🤍🤍semoga kami bisa melahirkan karya karya yg berimpact buat orang,250 suka,POSITIF
tehespanas,nanti klo pengen nasi padang gojekin dari sini gpp bg tpi jangan balik kesini.,86 suka,NEGATIF
isak.gelos,🔥🔥🔥🔥🔥🔥 jangan bawa nama Indonesia bro bawa nama sendri dan menyala 🔥🔥🔥🔥,66 suka,NEGATIF
rxzaditya,Awas der kalo balik dipajakin,7.400 suka,NEGATIF
steph_niki_,"Jangan balik ke indo bang,di sana ajh dapet dollar",568 suka,NEGATIF
saepudin8391,Kalau di Indonesia pasti kalah viral sama ratu tiktok Fuji,235 suka,HAMPIR NEGATIF
wwwhereareyewww,Kata gw kalo bikin bangga terus tenar mending bawa nama daerah jangan pake embel2 negara,85 suka,HAMPIR NEGATIF
