nodes_id,label,verified,opini,peran
F001,Folkative,TRUE,-,Media
V001,indomaret,TRUE,PRO,Verified
N001,pendekar_yapping,FALSE,PRO,Pengikut V001
N002,jo_setiyono,FALSE,PRO,Pengikut V001
N003,phiix._,FALSE,PRO,Pengikut V001
N004,m.aliframadhannn,FALSE,PRO,Pengikut V001
N005,iiamfaza,FALSE,PRO,Pengikut V001
N006,virgii4am,FALSE,PRO,Pengikut V001
N007,_nayaka.a,FALSE,PRO,Pengikut V001
N008,ardayardian,FALSE,PRO,Pengikut V001
N009,astrajingga____,FALSE,PRO,Pengikut V001
N010,adittiya.r,FALSE,PRO,Pengikut V001
N011,rikiramadhan7,FALSE,PRO,Pengikut V001
N012,fenryconk,FALSE,PRO,Pengikut V001
N013,aksanoise,FALSE,PRO,Pengikut V001
N014,clarastephs__,FALSE,PRO,Pengikut V001
N015,kiimen__,FALSE,PRO,Pengikut V001
N016,edwin23milanisti,FALSE,PRO,Pengikut V001
N017,jo_setiyono,FALSE,PRO,Pengikut V001
N018,edwin23milanisti,FALSE,PRO,Pengikut V001
N019,xelcioraden_,FALSE,PRO,Pengikut V001
N020,riskarestiwi,FALSE,PRO,Pengikut V001
N021,khrs_404,FALSE,PRO,Pengikut V001
N022,bengkuluinfo,FALSE,PRO,Pengikut V001
N023,nnatsu_drgneel,FALSE,PRO,Pengikut V001
N024,smkpgrilubuklinggau,FALSE,PRO,Pengikut V001
N025,helmyy.mjtb,FALSE,PRO,Pengikut V001
N026,nazazakiaa,FALSE,PRO,Pengikut V001
N027,rdley_,FALSE,PRO,Pengikut V001
N028,darrelzz_,FALSE,PRO,Pengikut V001
N029,joni_om97,FALSE,PRO,Pengikut V001
N030,rwdnii,FALSE,PRO,Pengikut V001
N031,firjattulloharibawa,FALSE,PRO,Pengikut V001
N032,khoirulakmj,FALSE,PRO,Pengikut V001
N033,angga.srrr,FALSE,PRO,Pengikut V001
N034,belalnt,FALSE,PRO,Pengikut V001
N035,arielprasetya,FALSE,PRO,Pengikut V001
N036,kasat1103,FALSE,PRO,Pengikut V001
N037,selly_r21,FALSE,PRO,Pengikut V001
N038,ichay_klemens,FALSE,PRO,Pengikut V001
N039,ooobeeet,FALSE,PRO,Pengikut V001
