node_id,label,verified,opini,peran
F001,Folkative,TRUE,-,Media
V001,universitasmultimedianusantara,TRUE,pro,Verified
V002,polysilaneindonesia,TRUE,pro,Verified
N001,mamadkurniawan,FALSE,pro,Pengikut V001
N002,lerinamuna,FALSE,pro,Pengikut V001
N003,yourfckning,FALSE,pro,Pengikut V001
N004,tidaklama,FALSE,pro,Pengikut V001
N005,jshuacristian,FALSE,pro,Pengikut V001
N006,cakezsyw,FALSE,pro,Pengikut V001
N007,_nuratiqah6,FALSE,pro,Pengikut V001
N008,rifdoalam,FALSE,pro,Pengikut V001
N009,diaryofnatasha,FALSE,pro,Pengikut V002
N010,mirzamuhammad_,FALSE,pro,Pengikut V002
N011,j7k_,FALSE,pro,Pengikut V002
N012,tidaklama,FALSE,pro,Pengikut V002
